id,operator_name
"136","Queen Victoria Street, St. Paul's"
"137","Bourne Street, Belgravia"
"137","Bourne Street, Belgravia"
"138","Green Street, Mayfair"
"139","Lambeth Road, Vauxhall"
"140","Finsbury Square , Moorgate"
"140","Finsbury Square , Moorgate"
"140","Finsbury Square , Moorgate"
"141","Chapel Place, Marylebone"
"141","Chapel Place, Marylebone"
"141","Chapel Place, Marylebone"
"142","West Cromwell Road, Earl's Court"
"143","Pont Street, Knightsbridge"
"144","Kennington Cross, Kennington"
"144","Kennington Cross, Kennington"
"145","Ilchester Place, Kensington"
"146","Vauxhall Bridge , Pimlico"
"147","Portugal Street, Holborn"
"147","Portugal Street, Holborn"
"148","Tachbrook Street, Victoria"
"149","Kennington Road Post Office, Oval"
"150","Holy Trinity Brompton, Knightsbridge"
"151","Chepstow Villas, Notting Hill"
"152","Hampton Street, Walworth"
"153","Bayswater Road, Hyde Park"
"154","Waterloo Station 3, Waterloo"
"154","Waterloo Station 3, Waterloo"
"154","Waterloo Station 3, Waterloo"
"154","Waterloo Station 3, Waterloo"
"155","Lexham Gardens, Kensington"
"155","Lexham Gardens, Kensington"
"156","New Kent Road, Borough"
"157","Wright's Lane, Kensington"
"158","Trebovir Road, Earl's Court"
"159","Great Marlborough Street, Soho"
"160","Waterloo Place, St. James's"
"160","Waterloo Place, St. James's"
"161","Guildhouse Street, Victoria"
"162","Southampton Place, Holborn"
"162","Southampton Place, Holborn"
"163","Sloane Avenue, Knightsbridge"
"164","Cleveland Gardens, Bayswater"
"165","Orsett Terrace, Bayswater"
"165","Orsett Terrace, Bayswater"
"166","Seville Street, Knightsbridge"
"166","Seville Street, Knightsbridge"
"167","Eccleston Place, Victoria"
"168","Argyll Road, Kensington"
"169","Porchester Place, Paddington"
"170","Hardwick Street, Clerkenwell"
"171","Collingham Gardens, Earl's Court"
"172","Sumner Place, South Kensington"
"173","Waterloo Road, South Bank"
"173","Waterloo Road, South Bank"
"173","Waterloo Road, South Bank"
"173","Waterloo Road, South Bank"
"173","Waterloo Road, South Bank"
"173","Waterloo Road, South Bank"
"174","Strand, Strand"
"174","Strand, Strand"
"175","Worship Street, Shoreditch"
"175","Worship Street, Shoreditch"
"176","Gloucester Terrace, Bayswater"
"177","Ashley Place, Victoria"
"178","Warwick Square, Pimlico"
"180","North Audley Street, Mayfair"
"181","Belgrave Square, Belgravia"
"182","Bell Street , Marylebone"
"184","Portland Place, Marylebone"
"185","Alderney Street, Pimlico"
"186","South Wharf Road, Paddington"
"186","South Wharf Road, Paddington"
"187","Queen's Gate (South), South Kensington"
"188","Nutford Place, Marylebone"
"188","Nutford Place, Marylebone"
"189","Claremont Square, Angel"
"190","Rampayne Street, Pimlico"
"191","Hyde Park Corner, Hyde Park"
"191","Hyde Park Corner, Hyde Park"
"192","Wardour Street, Soho"
"193","Bankside Mix, Bankside"
"193","Bankside Mix, Bankside"
"193","Bankside Mix, Bankside"
"194","Hop Exchange, The Borough"
"195","Milroy Walk, South Bank"
"195","Milroy Walk, South Bank"
"196","Union Street, The Borough"
"197","Stamford Street, South Bank"
"197","Stamford Street, South Bank"
"197","Stamford Street, South Bank"
"199","Great Tower Street, Monument"
"200","LMU Commercial Road, Whitechapel"
"201","Dorset Square, Marylebone"
"201","Dorset Square, Marylebone"
"202","Leman Street, Aldgate"
"203","West Smithfield Rotunda, Farringdon"
"204","Margery Street, Clerkenwell"
"205","New Road  2, Whitechapel"
"205","New Road  2, Whitechapel"
"206","New Road 1 , Whitechapel"
"206","New Road 1 , Whitechapel"
"207","Grosvenor Crescent, Belgravia"
"208","Mallory Street, Marylebone"
"208","Mallory Street, Marylebone"
"209","Denyer Street, Knightsbridge"
"210","Hinde Street, Marylebone"
"211","Cadogan Place, Knightsbridge"
"212","Campden Hill Road, Notting Hill"
"213","Wellington Arch, Hyde Park"
"214","Endsleigh Gardens, Euston"
"214","Endsleigh Gardens, Euston"
"215","Moorfields, Moorgate"
"216","Old Brompton Road, South Kensington"
"217","Wormwood Street, Liverpool Street"
"218","St. Luke's Church, Chelsea"
"219","Bramham Gardens, Earl's Court"
"220","Chelsea Green, Chelsea"
"221","Horseferry Road, Westminster"
"222","Knightsbridge, Hyde Park"
"222","Knightsbridge, Hyde Park"
"223","Rodney Road , Walworth"
"224","Whiteley's, Bayswater"
"225","Notting Hill Gate Station, Notting Hill"
"226","Charles II Street, West End"
"226","Charles II Street, West End"
"226","Charles II Street, West End"
"227","Great Percy Street, Clerkenwell"
"228","St. James's Square, St. James's"
"229","Whitehall Place, Strand"
"229","Whitehall Place, Strand"
"230","Poured Lines, Bankside"
"231","Queen's Gate (Central), South Kensington"
"232","Carey Street, Holborn"
"232","Carey Street, Holborn"
"232","Carey Street, Holborn"
"233","Pall Mall East, West End"
"233","Pall Mall East, West End"
"233","Pall Mall East, West End"
"234","Liverpool Road (N1 Centre), Angel"
"234","Liverpool Road (N1 Centre), Angel"
"235","Kennington Road  , Vauxhall"
"236","Fashion Street, Whitechapel"
"236","Fashion Street, Whitechapel"
"237","Dock Street, Wapping"
"238","Frampton Street, Paddington"
"239","Warren Street Station, Euston"
"239","Warren Street Station, Euston"
"240","Colombo Street, Southwark"
"240","Colombo Street, Southwark"
"241","Eaton Gate, Belgravia"
"241","Eaton Gate, Belgravia"
"242","Beaumont Street, Marylebone"
"243","Gloucester Street, Pimlico"
"244","Earnshaw Street , Covent Garden"
"245","Grosvenor Road, Pimlico"
"246","Berry Street, Clerkenwell"
"247","St. John's Wood Church, The Regent's Park"
"248","Triangle Car Park, Hyde Park"
"249","Harper Road, Borough"
"250","Royal Avenue 1, Chelsea"
"250","Royal Avenue 1, Chelsea"
"251","Brushfield Street, Liverpool Street"
"252","Jubilee Gardens, South Bank"
"252","Jubilee Gardens, South Bank"
"252","Jubilee Gardens, South Bank"
"253","Shoreditch Park, Hoxton"
"254","Chadwell Street, Angel"
"255","Clifton Road, Maida Vale"
"256","Houghton Street, Strand"
"256","Houghton Street, Strand"
"256","Houghton Street, Strand"
"257","Westminster University, Marylebone"
"258","Kensington Gore, Knightsbridge"
"258","Kensington Gore, Knightsbridge"
"258","Kensington Gore, Knightsbridge"
"260","Broadwick Street, Soho"
"261","Princes Square, Bayswater"
"261","Princes Square, Bayswater"
"262","LSBU (Borough Road), Elephant & Castle"
"263","St. Mary Axe, Aldgate"
"264","Tysoe Street, Clerkenwell"
"265","Southwick Street, Paddington"
"266","Queen's Gate (North), Kensington"
"266","Queen's Gate (North), Kensington"
"266","Queen's Gate (North), Kensington"
"267","Regency Street, Westminster"
"268","Belgrave Road, Victoria"
"269","Empire Square, The Borough"
"270","Kennington Lane Rail Bridge, Vauxhall"
"270","Kennington Lane Rail Bridge, Vauxhall"
"271",London Zoo
"272","Baylis Road, Waterloo"
"273","Belvedere Road 1, South Bank"
"273","Belvedere Road 1, South Bank"
"273","Belvedere Road 1, South Bank"
"273","Belvedere Road 1, South Bank"
"273","Belvedere Road 1, South Bank"
"274","Warwick Road, Olympia"
"275","Barbican Centre, Barbican"
"276","Lower Thames Street, Monument"
"276","Lower Thames Street, Monument"
"277","Kensington Church Street, Kensington"
"278","Tooley Street, Bermondsey"
"278","Tooley Street, Bermondsey"
"279","Noorth Wharf Road, Paddington"
"280","Royal Avenue 2, Chelsea"
"280","Royal Avenue 2, Chelsea"
"281","Smith Square, Westminster"
"282","Royal London Hospital, Whitechapel"
"283","Kingsway, Covent Garden"
"283","Kingsway, Covent Garden"
"283","Kingsway, Covent Garden"
"283","Kingsway, Covent Garden"
"284","Lambeth Noorth Station, Waterloo"
"285","Royal Mews, Victoria"
"285","Royal Mews, Victoria"
"285","Royal Mews, Victoria"
"286","St. John's Wood Road, St. John's Wood"
"287","Bedford Way, Bloomsbury"
"287","Bedford Way, Bloomsbury"
"288","Elizabeth Bridge, Victoria"
"289","South Audley Street, Mayfair"
"290","Winsland Street, Paddington"
"290","Winsland Street, Paddington"
"291","Claverton Street, Pimlico"
"292","Montpelier Street, Knightsbridge"
"293","Kensington Olympia Station, Olympia"
"293","Kensington Olympia Station, Olympia"
"294","St. George's Square, Pimlico"
"295","Swan Street, The Borough"
"295","Swan Street, The Borough"
"296","Knaresborough Place, Earl's Court"
"297","Geraldine Street, Elephant & Castle"
"297","Geraldine Street, Elephant & Castle"
"298","Curlew Street, Shad Thames"
"299","Vincent Square, Westminster"
"300","Serpentine Car Park, Hyde Park"
"301","Marylebone Lane, Marylebone"
"301","Marylebone Lane, Marylebone"
"301","Marylebone Lane, Marylebone"
"303","Albert Gate, Hyde Park"
"303","Albert Gate, Hyde Park"
"304","Cumberland Gate, Hyde Park"
"304","Cumberland Gate, Hyde Park"
"305","Kennington Lane Tesco, Vauxhall"
"305","Kennington Lane Tesco, Vauxhall"
"305","Kennington Lane Tesco, Vauxhall"
"306","Rathbone Street, Fitzrovia"
"307","Black Lion Gate, Kensington Gardens"
"308","Long Lane , Bermondsey"
"309","Embankment (Savoy), Strand"
"309","Embankment (Savoy), Strand"
"310","Black Prince Road, Vauxhall"
"311","Foley Street, Fitzrovia"
"311","Foley Street, Fitzrovia"
"312","Grove End Road, St. John's Wood"
"313","Wells Street, Fitzrovia"
"314","Tyers Gate, Bermondsey"
"314","Tyers Gate, Bermondsey"
"315","The Tennis Courts, Regent's Park"
"316","Cardinal Place, Victoria"
"316","Cardinal Place, Victoria"
"316","Cardinal Place, Victoria"
"317","Dickens Square, Borough"
"318","Sackville Street, Mayfair"
"319","Baldwin Street, St. Luke's"
"319","Baldwin Street, St. Luke's"
"320","Queen Mother Sports Centre, Victoria"
"321","Bermondsey Street, Bermondsey"
"322","Palissy Street, Shoreditch"
"323","Clifton Street, Shoreditch"
"324","Ontario Street, Elephant & Castle"
"325","St. Martin's Street, West End"
"325","St. Martin's Street, West End"
"326","Graham Street, Angel"
"327","New North Road 1, Hoxton"
"327","New North Road 1, Hoxton"
"328","New North Road 2, Hoxton"
"328","New North Road 2, Hoxton"
"329","Prince Albert Road, Regent's Park"
"330","Eastbourne Mews, Paddington"
"331","Bunhill Row, Moorgate"
"332","Nevern Place, Earl's Court"
"333","Palace Gardens Terrace, Notting Hill"
"334","Concert Hall Approach 1, South Bank"
"334","Concert Hall Approach 1, South Bank"
"334","Concert Hall Approach 1, South Bank"
"334","Concert Hall Approach 1, South Bank"
"334","Concert Hall Approach 1, South Bank"
"335","Tavistock Street, Covent Garden"
"335","Tavistock Street, Covent Garden"
"336","Concert Hall Approach 2, South Bank"
"336","Concert Hall Approach 2, South Bank"
"336","Concert Hall Approach 2, South Bank"
"336","Concert Hall Approach 2, South Bank"
"336","Concert Hall Approach 2, South Bank"
"336","Concert Hall Approach 2, South Bank"
"337","Pembridge Road, Notting Hill"
"338","Wellington Street , Strand"
"338","Wellington Street , Strand"
"339","Risinghill Street, Angel"
"340","Bank of England Museum, Bank"
"341","Craven Street, Strand"
"343","Gloucester Slips Car Park, Regent's Park"
"344","Goswell Road (City Uni), Finsbury"
"345","Flood Street, Chelsea"
"347","Lower Marsh, Waterloo"
"348","Grosvenor Square, Mayfair"
"348","Grosvenor Square, Mayfair"
"349","St. George Street, Mayfair"
"349","St. George Street, Mayfair"
"350","Queen's Gate, Kensington Gardens"
"350","Queen's Gate, Kensington Gardens"
"350","Queen's Gate, Kensington Gardens"
"351","Macclesfield Rd, St Lukes"
"352","Vauxhall Street, Vauxhall"
"352","Vauxhall Street, Vauxhall"
"352","Vauxhall Street, Vauxhall"
"353","Greycoat Street , Westminster"
"354","Northumberland Avenue, Strand"
"354","Northumberland Avenue, Strand"
"355","Oval Way, Lambeth"
"355","Oval Way, Lambeth"
"355","Oval Way, Lambeth"
"356","South Kensington Station, South Kensington"
"357","Howland Street, Fitzrovia"
"358","High Holborn , Covent Garden"
"359","Butler Place, Westminster"
"360","Howick Place, Westminster"
"360","Howick Place, Westminster"
"361","Waterloo Station 2, Waterloo"
"361","Waterloo Station 2, Waterloo"
"361","Waterloo Station 2, Waterloo"
"361","Waterloo Station 2, Waterloo"
"362","Royal College Street, Camden Town"
"363","Lord's, St. John's Wood"
"363","Lord's, St. John's Wood"
"364","Alfred Place, Bloomsbury"
"364","Alfred Place, Bloomsbury"
"365","City Road, Angel"
"366","Millennium Hotel, Mayfair"
"366","Millennium Hotel, Mayfair"
"367","Harrowby Street, Marylebone"
"367","Harrowby Street, Marylebone"
"367","Harrowby Street, Marylebone"
"368","Harriet Street, Knightsbridge"
"369","Victoria Embankment, Temple"
"369","Victoria Embankment, Temple"
"370","Paddington Green, Paddington"
"371","King Edward Walk, Waterloo"
"372","Sardinia Street, Holborn"
"372","Sardinia Street, Holborn"
"372","Sardinia Street, Holborn"
"372","Sardinia Street, Holborn"
"372","Sardinia Street, Holborn"
"373","Prince Consort Road, Knightsbridge"
"373","Prince Consort Road, Knightsbridge"
"374","Waterloo Station 1, Waterloo"
"374","Waterloo Station 1, Waterloo"
"374","Waterloo Station 1, Waterloo"
"374","Waterloo Station 1, Waterloo"
"374","Waterloo Station 1, Waterloo"
"375","Kensington Town Hall, Kensington"
"376","Millbank House, Pimlico"
"377","Waterloo Bridge, South Bank"
"377","Waterloo Bridge, South Bank"
"377","Waterloo Bridge, South Bank"
"377","Waterloo Bridge, South Bank"
"377","Waterloo Bridge, South Bank"
"377","Waterloo Bridge, South Bank"
"377","Waterloo Bridge, South Bank"
"378","Natural History Museum, South Kensington"
"379","Turquoise Island, Notting Hill"
"380","Stanhope Gate, Mayfair"
"381","Charlotte Street, Fitzrovia"
"381","Charlotte Street, Fitzrovia"
"382","Farm Street, Mayfair"
"383","Frith Street, Soho"
"383","Frith Street, Soho"
"384","Marloes Road, Kensington"
"384","Marloes Road, Kensington"
"386","Moor Street, Soho"
"386","Moor Street, Soho"
"387","Fire Brigade Pier, Vauxhall"
"388","Southampton Street, Strand"
"389","Upper Grosvenor Street, Mayfair"
"389","Upper Grosvenor Street, Mayfair"
"390","Buxton Street 1, Bangla Town"
"391","Clifford Street, Mayfair"
"391","Clifford Street, Mayfair"
"391","Clifford Street, Mayfair"
"391","Clifford Street, Mayfair"
"392","Imperial College, Knightsbridge"
"393","Snow Hill, Farringdon"
"393","Snow Hill, Farringdon"
"394","Aberdeen Place, St. John's Wood"
"395","Cadogan Gardens, Chelsea"
"396","Shouldham Street, Marylebone"
"396","Shouldham Street, Marylebone"
"397","Devonshire Terrace, Bayswater"
"398","Holland Park, Kensington"
"399","Brick Lane Market, Shoreditch"
"400","George Street, Marylebone"
"401",Columbia Road
"402","Penfold Street, Marylebone"
"403","George Place Mews, Marylebone"
"404","Palace Gate, Kensington Gardens"
"404","Palace Gate, Kensington Gardens"
"405","Gloucester Road Station, South Kensington"
"406","Speakers' Corner 2, Hyde Park"
"406","Speakers' Corner 2, Hyde Park"
"408","Marylebone Flyover, Paddington"
"408","Marylebone Flyover, Paddington"
"409","Strata, Elephant &amp; Castle"
"409","Strata, Elephant &amp; Castle"
"410","Edgware Road Station, Marylebone"
"410","Edgware Road Station, Marylebone"
"411","Walworth Road, Elephant &amp; Castle"
"411","Walworth Road, Elephant &amp; Castle"
"412","Cleaver Street, Kennington"
"412","Cleaver Street, Kennington"
"419","Chelsea Bridge, Pimlico"
"420","Southwark Station 1, Southwark"
"420","Southwark Station 1, Southwark"
"421","Southwark Station 2, Southwark"
"421","Southwark Station 2, Southwark"
"423","Eaton Square (South), Belgravia"
"423","Eaton Square (South), Belgravia"
"424","Ebury Bridge, Pimlico"
"425","Harrington Square 2, Camden Town"
"425","Harrington Square 2, Camden Town"
"426","Vincent Street, Pimlico"
"427","Cheapside, Bank"
"428","Exhibition Road, Knightsbridge"
"428","Exhibition Road, Knightsbridge"
"430","South Parade, Chelsea"
"431","Crinan Street, King's Cross"
"432","Exhibition Road Museums, South Kensington"
"432","Exhibition Road Museums, South Kensington"
"433","Wren Street, Holborn"
"435","Kennington Station, Kennington"
"436","Red Lion Street, Holborn"
"437","Vauxhall Walk, Vauxhall"
"437","Vauxhall Walk, Vauxhall"
"439","Killick Street, King's Cross"
"440","Kennington Oval, Oval"
"441","Sail Street, Vauxhall"
"442","Walmer Road, Avondale"
"443","Philpot Street, Whitechapel"
"444","Bethnal Green Garden, Bethnal Green"
"445","Cheshire Street, Bethnal Green"
"446","York Hall, Bethnal Green"
"447","Jubilee Crescent, Cubitt Town"
"448","Fisherman's Walk West, Canary Wharf"
"449","Shadwell Station, Shadwell"
"449","Shadwell Station, Shadwell"
"450","Jubilee Street, Stepney"
"451","Hermitage Court, Wapping"
"452","St Katharines Way, Tower"
"453","Garnet Street, Shadwell"
"454","Napier Avenue, Millwall"
"455","East Ferry Road, Cubitt Town"
"456","Parkway, Camden Town"
"457","Castlehaven Road, Camden Town"
"458","Wapping Lane 2, Wapping"
"459","Gun Makers Lane, Old Ford"
"460","Burdett Road, Mile End"
"461","Aston Street, Stepney"
"462","Bonny Street, Camden Town"
"463","Thurtle Road, Haggerston"
"464","St. Mary &amp; St. Michael Church, Stepney"
"465","Pitfield Street (North),Hoxton"
"466","Whiston Road, Haggerston"
"467","Southern Grove, Bow"
"468","Cantrell Road, Bow"
"469","Lindfield Street, Poplar"
"470","Mostyn Grove, Bow"
"471","Hewison Street, Old Ford"
"472","Malmesbury Road, Bow"
"473","Millharbour, Millwall"
"474","Castalia Square, Cubitt Town"
"475","Lightermans Road, Millwall"
"476","Stebondale Street, Cubitt Town"
"477","Spindrift Avenue, Millwall"
"478","Stepney Green Station, Stepney"
"479","Pott Street, Bethnal Green"
"479","Pott Street, Bethnal Green"
"480","Flamborough Street, Limehouse"
"481","Saunders Ness Road, Cubitt Town"
"482","Thornfield House, Poplar"
"483","Albert Gardens, Stepney"
"484","Bromley High Street, Bow"
"485","Old Ford Road, Bethnal Green"
"486","Granby Street, Shoreditch"
"487","Canton Street, Poplar"
"488","Reardon Street, Wapping"
"489","Christian Street, Whitechapel"
"490","Pennington Street, Wapping"
"491","Queen Mary's, Mile End"
"492","The Green Bridge, Mile End"
"492","The Green Bridge, Mile End"
"494","South Quay East, Canary Wharf"
"495","Bow Church Station, Bow"
"496","Devons Road, Bow"
"497","Merchant Street, Bow"
"498","Bow Road Station, Bow"
"499","Furze Green, Bow"
"500","Ansell House, Stepney"
"501","Cephas Street, Bethnal Green"
"503","Cleveland Way, Bethnal Green"
"504","St John's Park, Cubitt Town"
"505","Ackroyd Drive, Bow"
"506","Bell Lane, Liverpool Street"
"507","Clarkson Street, Bethnal Green"
"508","Fournier Street, Whitechapel"
"508","Fournier Street, Whitechapel"
"509","Fore Street Avenue, Guildhall"
"509","Fore Street Avenue, Guildhall"
"509","Fore Street Avenue, Guildhall"
"510","Westferry DLR, Limehouse"
"511","Sutton Street, Shadwell"
"512","Pritchard's Road, Bethnal Green"
"513","Watney Market, Stepney"
"514","Portman Square, Marylebone"
"515","Russell Gardens, Holland Park"
"516","Chrisp Street Market, Poplar"
"517","Ford Road, Old Ford"
"518","Antill Road, Mile End"
"519","Teviot Street, Poplar"
"520","Bancroft Road, Bethnal Green"
"521","Driffield Road, Old Ford"
"522","Clinton Road, Mile End"
"522","Clinton Road, Mile End"
"523","Langdon Park, Poplar"
"524","Lancaster Gate , Bayswater"
"525","Churchill Place, Canary Wharf"
"526","Lancaster Drive, Blackwall"
"527","Hansard Mews, Holland Park"
"527","Hansard Mews, Holland Park"
"528","Clarges Street, Mayfair"
"528","Clarges Street, Mayfair"
"529","Manresa Road, Chelsea"
"530","Newby Place, Poplar"
"531","Twig Folly Bridge, Mile End"
"532","Jubilee Plaza, Canary Wharf"
"532","Jubilee Plaza, Canary Wharf"
"533","Wellington Row, Bethnal Green"
"534","Goldsmith's Row, Haggerston"
"535","Gloucester Avenue, Camden Town"
"536","Queensbridge Road, Haggerston"
"537","Old Montague Street, Whitechapel"
"538","Naval Row, Blackwall"
"539","Hoxton Station, Haggerston"
"540","Albany Street, Regent's Park"
"541","Green Park Station, Mayfair"
"542","Salmon Lane, Limehouse"
"543","Lansdowne Walk, Ladbroke Grove"
"544","Percival Street, Finsbury"
"545","Arlington Road, Camden Town"
"546","New Fetter Lane, Holborn"
"546","New Fetter Lane, Holborn"
"547","East India DLR, Blackwall"
"548","Westminster Bridge Road, Elephant &amp; Castle"
"549","Gaywood  Street, Elephant &amp; Castle"
"549","Gaywood  Street, Elephant &amp; Castle"
"550","Harford Street, Mile End"
"551","Import Dock, Canary Wharf"
"552","Watney Street, Shadwell"
"552","Watney Street, Shadwell"
"553","Regent's Row , Haggerston"
"554","Aberfeldy Street, Poplar"
"555","Westfield Eastern Access Road 1, Shepherd's Bush"
"556","Heron Quays DLR, Canary Wharf"
"556","Heron Quays DLR, Canary Wharf"
"556","Heron Quays DLR, Canary Wharf"
"557","King Edward Street, St Pauls"
"557","King Edward Street, St Pauls"
"558","Page Street, Westminster"
"559","Abbotsbury Road, Holland Park"
"560","Ladbroke Grove Central, Ladbroke Grove"
"561","Rectory Square, Stepney"
"562","Bury Place, Holborn"
"562","Bury Place, Holborn"
"563","Preston's Road, Cubitt Town"
"564","Somerset House, Strand"
"564","Somerset House, Strand"
"565","Selby Street, Whitechapel"
"566","Westfield Ariel Way, White City"
"568","Bishop's Bridge Road West, Bayswater"
"569","Pitfield Street Central, Hoxton"
"570","Upper Bank Street, Canary Wharf"
"571","Westfield Southern Terrace ,Shepherd's Bush"
"572","Greenland Road, Camden Town"
"573","Limerston Street, Chelsea"
"574","Eagle Wharf Road, Hoxton"
